Year,Country,oil_rents_pct_gdp
2003,Iraq,53.0047978158982
2004,Iraq,64.6550924823725
2005,Iraq,65.1575951980304
2006,Iraq,63.5551402676835
2007,Iraq,52.9273802567399
2008,Iraq,55.3793146361864
2009,Iraq,39.1145928006965
2010,Iraq,43.2562312170542
2011,Iraq,50.9263659501053
2012,Iraq,49.6110993818029
2013,Iraq,45.3313602184612
2014,Iraq,46.6038527995508
2015,Iraq,37.2575416723352
2016,Iraq,32.9650560560142
2017,Iraq,38.9203120843433
2018,Iraq,45.7658631354446
2019,Iraq,40.2312783051026
2020,Iraq,27.035001916172
2021,Iraq,42.7870984915076
