year,electricity_access,health_expenditure,water_access
2003,97.2,2.99693608,83.51540093
2004,97.3,3.90128636,84.40448666
2005,97.4,3.01704645,85.29329159
2006,97.6,2.49370432,86.18151261
2007,98.1,3.2148056,87.0697454
2008,97.9,3.06604242,87.95767538
2009,98.1,3.77203989,88.84504649
2010,98.4,3.23955345,89.74768034
2011,98,2.80316377,90.6562235
2012,99.3,2.69365859,91.56041088
2013,99,2.80868459,92.46028472
2014,99.2,2.78786659,93.35601794
2015,99.4,3.15587044,94.24759356
2016,99.7,4.57253027,95.13617228
2017,99.9,4.08944416,96.02131043
2018,99.9,4.07600641,96.9024026
2019,100,4.207232,97.77878372
2020,100,5.72766161,98.35990442
2021,100,5.14179993,98.37115693
2022,100,4.33226347,98.38285184
2023,100,5.53275251,98.39504697
