Country,Month,Year,Events,Fatalities
Iraq,January,2016,734,4923
Iraq,February,2016,780,4198
Iraq,March,2016,788,4124
Iraq,April,2016,1048,6892
Iraq,May,2016,1070,6353
Iraq,June,2016,722,4213
Iraq,July,2016,743,5059
Iraq,August,2016,710,3951
Iraq,September,2016,756,3531
Iraq,October,2016,685,3628
Iraq,November,2016,946,5312
Iraq,December,2016,779,3848
Iraq,January,2017,473,5106
Iraq,February,2017,326,1836
Iraq,March,2017,538,5216
Iraq,April,2017,446,4531
Iraq,May,2017,462,4242
Iraq,June,2017,369,3153
Iraq,July,2017,392,1527
Iraq,August,2017,482,1549
Iraq,September,2017,376,1693
Iraq,October,2017,417,1366
Iraq,November,2017,304,1037
Iraq,December,2017,288,646
Iraq,January,2018,248,499
Iraq,February,2018,213,408
Iraq,March,2018,297,581
Iraq,April,2018,240,414
Iraq,May,2018,282,392
Iraq,June,2018,239,475
Iraq,July,2018,287,494
Iraq,August,2018,291,570
Iraq,September,2018,246,411
Iraq,October,2018,254,337
Iraq,November,2018,191,435
Iraq,December,2018,157,193
Iraq,January,2019,167,217
Iraq,February,2019,154,271
Iraq,March,2019,141,180
Iraq,April,2019,206,316
Iraq,May,2019,184,322
Iraq,June,2019,244,312
Iraq,July,2019,198,304
Iraq,August,2019,208,241
Iraq,September,2019,180,187
Iraq,October,2019,211,269
Iraq,November,2019,201,188
Iraq,December,2019,229,298
Iraq,January,2020,217,155
Iraq,February,2020,197,182
Iraq,March,2020,176,156
Iraq,April,2020,183,185
Iraq,May,2020,253,234
Iraq,June,2020,330,294
Iraq,July,2020,372,219
Iraq,August,2020,380,311
Iraq,September,2020,352,204
Iraq,October,2020,334,185
Iraq,November,2020,321,206
Iraq,December,2020,342,282
Iraq,January,2021,243,277
Iraq,February,2021,255,179
Iraq,March,2021,254,262
Iraq,April,2021,411,204
Iraq,May,2021,571,260
Iraq,June,2021,496,209
Iraq,July,2021,478,253
Iraq,August,2021,595,217
Iraq,September,2021,510,205
Iraq,October,2021,421,185
Iraq,November,2021,278,114
Iraq,December,2021,360,208
Iraq,January,2022,293,144
Iraq,February,2022,243,138
Iraq,March,2022,249,99
Iraq,April,2022,540,194
Iraq,May,2022,706,244
Iraq,June,2022,601,169
Iraq,July,2022,625,150
Iraq,August,2022,600,183
Iraq,September,2022,590,197
Iraq,October,2022,540,128
Iraq,November,2022,442,180
Iraq,December,2022,449,264
Iraq,January,2023,372,116
Iraq,February,2023,227,162
Iraq,March,2023,295,125
Iraq,April,2023,366,122
Iraq,May,2023,402,111
Iraq,June,2023,439,131
Iraq,July,2023,461,67
Iraq,August,2023,334,132
Iraq,September,2023,412,104
Iraq,October,2023,502,92
Iraq,November,2023,499,127
Iraq,December,2023,552,99
Iraq,January,2024,608,126
Iraq,February,2024,491,82
Iraq,March,2024,697,75
Iraq,April,2024,576,90
Iraq,May,2024,495,61
Iraq,June,2024,546,69
Iraq,July,2024,724,97
Iraq,August,2024,561,102
Iraq,September,2024,672,78
Iraq,October,2024,597,124
Iraq,November,2024,517,65
Iraq,December,2024,491,62
Iraq,January,2025,293,106
Iraq,February,2025,273,77
Iraq,March,2025,574,41
Iraq,April,2025,472,53
Iraq,May,2025,282,48
Iraq,June,2025,247,36
Iraq,July,2025,133,47
Iraq,August,2025,64,36
Iraq,September,2025,62,33
Iraq,October,2025,58,34
Iraq,November,2025,71,35
Iraq,December,2025,43,28
Iraq,January,2026,46,28
Iraq,February,2026,50,29
Iraq,March,2026,411,156
Iraq,April,2026,158,43
Iraq,May,2026,74,44
Iraq,June,2026,32,20
